id_product;id_supplier;id_manufacturer;id_category_default;id_shop_default;id_tax_rules_group;on_sale;online_only;ean13;isbn;upc;mpn;ecotax;quantity;minimal_quantity;low_stock_threshold;low_stock_alert;price;wholesale_price;unity;unit_price_ratio;additional_shipping_cost;reference;supplier_reference;location;width;height;depth;weight;out_of_stock;additional_delivery_times;quantity_discount;customizable;uploadable_files;text_fields;active;redirect_type;id_type_redirected;available_for_order;available_date;show_condition;condition;show_price;indexed;visibility;cache_is_pack;cache_has_attachments;is_virtual;cache_default_attribute;date_add;date_upd;advanced_stock_management;pack_stock_type;state;product_type
1002386;0;20511;566;1;53;0;0;3045385721123;;;;0.000000;0;1;;0;31.567700;0.000000;;0.000000;0.000000;002386;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;1;404;0;1;0000-00-00;0;new;1;1;both;0;0;0;0;"2024-04-03 08:41:35";"2024-04-23 10:39:12";0;3;1;
1007169;0;1131;2;1;53;0;0;8423869704704;;;;0.000000;0;1;;0;21.476600;0.000000;;0.000000;0.000000;007169;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;0;404;0;1;0000-00-00;0;new;1;0;both;0;0;0;0;"2024-04-24 08:27:42";"2024-04-25 12:21:13";0;3;1;
1007214;0;0;2;1;53;0;1;8423869042004;;;;0.000000;0;1;;0;38.630900;0.000000;;0.000000;0.000000;007214;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;0;404;0;1;0000-00-00;0;new;1;0;both;0;0;0;0;"2024-04-23 10:39:16";"2024-04-25 12:21:13";0;3;1;
1007267;0;1131;672;1;53;0;1;8423869203801;;;;0.000000;0;1;;0;45.470600;0.000000;;0.000000;0.000000;007267;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;0;404;0;1;0000-00-00;0;new;1;0;both;0;0;0;0;"2024-04-24 08:27:42";"2024-04-24 08:27:42";0;3;1;
1007270;0;1131;672;1;53;0;1;8423869203900;;;;0.000000;0;1;;0;41.307900;0.000000;;0.000000;0.000000;007270;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;0;404;0;1;0000-00-00;0;new;1;0;both;0;0;0;0;"2024-04-24 08:27:42";"2024-04-24 08:27:42";0;3;1;
1007395;0;14021;672;1;53;0;0;8422221478000;;;;0.000000;0;1;;0;42.766500;0.000000;;0.000000;0.000000;007395;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;0;404;0;1;0000-00-00;0;new;1;0;both;0;0;0;0;"2024-04-23 10:39:16";"2024-04-23 10:39:16";0;3;1;
1008818;0;2491;691;1;53;0;0;8421097039254;;;;0.000000;0;0;;0;16.601000;0.000000;;0.000000;0.000000;;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;1;404;0;1;0000-00-00;0;new;1;1;both;0;0;0;16456;"2024-04-24 08:27:18";"2024-04-24 08:29:23";0;3;1;combinations
1014672;0;4441;372;1;53;0;0;8413491601021;;;;0.000000;0;0;;0;19.285800;0.000000;;0.000000;0.000000;;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;1;404;0;1;0000-00-00;0;new;1;1;both;0;0;0;16560;"2024-04-25 08:25:38";"2024-04-25 08:27:29";0;3;1;combinations
1014729;0;0;754;1;53;0;0;8422597255205;;;;0.000000;0;0;;0;0.371600;0.000000;;0.000000;0.000000;;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;1;404;0;1;0000-00-00;0;new;1;1;both;0;0;0;16550;"2024-04-25 08:25:32";"2024-04-25 08:27:12";0;3;1;combinations
1014754;0;6374;365;1;53;0;0;8414058317515;;;;0.000000;0;0;;0;4.381300;0.000000;;0.000000;0.000000;;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;1;404;0;1;0000-00-00;0;new;1;1;both;0;0;0;16629;"2024-04-25 08:25:53";"2024-04-25 08:28:36";0;3;1;combinations
1015035;0;4821;378;1;53;0;0;8421411004661;;;;0.000000;0;0;;0;15.339100;0.000000;;0.000000;0.000000;;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;1;404;0;1;0000-00-00;0;new;1;1;both;0;0;0;16557;"2024-04-25 08:25:38";"2024-04-25 08:27:26";0;3;1;combinations
1018453;0;16981;366;1;53;0;1;4003773034049;;;;0.000000;0;1;;0;24.488400;0.000000;;0.000000;0.000000;018453;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;0;404;0;1;0000-00-00;0;new;1;0;both;0;0;0;0;"2024-04-25 08:25:58";"2024-04-25 08:25:58";0;3;1;
1024600;0;1131;673;1;53;0;1;8423869200503;;;;0.000000;0;1;;0;37.918800;0.000000;;0.000000;0.000000;024600;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;0;404;0;1;0000-00-00;0;new;1;0;both;0;0;0;0;"2024-04-24 08:27:42";"2024-04-24 08:27:42";0;3;1;
1024602;0;1131;672;1;53;0;1;8423869024604;;;;0.000000;0;1;;0;35.180400;0.000000;;0.000000;0.000000;024602;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;0;404;0;1;0000-00-00;0;new;1;0;both;0;0;0;0;"2024-04-23 10:39:16";"2024-04-24 08:27:44";0;3;1;
1028006;0;4486;810;1;53;0;0;8424835002503;;;;0.000000;0;0;;0;9.864000;0.000000;;0.000000;0.000000;;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;1;404;0;1;0000-00-00;0;new;1;1;both;0;0;0;16558;"2024-04-25 08:25:38";"2024-04-25 08:27:27";0;3;1;combinations
1028070;0;0;599;1;53;0;0;8423171052562;;;;0.000000;0;1;;0;9.071500;0.000000;;0.000000;0.000000;028070;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;0;404;0;1;0000-00-00;0;new;1;0;both;0;0;0;0;"2024-04-25 08:26:02";"2024-04-25 12:20:40";0;3;1;
1029702;0;1951;372;1;53;0;0;091511200300;;;;0.000000;0;1;;0;7.584400;0.000000;;0.000000;0.000000;029702;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;1;404;0;1;0000-00-00;0;new;1;1;both;0;0;0;0;"2024-02-19 17:12:04";"2024-04-22 15:58:44";0;3;1;
1034884;0;0;502;1;53;0;0;8427344000152;;;;0.000000;0;0;;0;37.029800;0.000000;;0.000000;0.000000;;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;1;404;0;1;0000-00-00;0;new;1;1;both;0;0;0;16607;"2024-04-25 08:25:53";"2024-04-25 08:28:26";0;3;1;combinations
1038808;0;2993;485;1;53;0;0;8412776078114;;;;0.000000;0;0;;0;13.294400;0.000000;;0.000000;0.000000;;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;1;404;0;1;0000-00-00;0;new;1;1;both;0;0;0;16570;"2024-04-25 08:25:38";"2024-04-25 08:27:37";0;3;1;combinations
1040412;0;1131;679;1;53;0;1;8423869702342;;;;0.000000;0;1;;0;24.546500;0.000000;;0.000000;0.000000;040412;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;0;404;0;1;0000-00-00;0;new;1;0;both;0;0;0;0;"2024-04-24 08:27:42";"2024-04-24 08:27:42";0;3;1;
1040851;0;15481;737;1;53;0;1;8425181123010;;;;0.000000;0;1;;0;26.082400;0.000000;;0.000000;0.000000;040851;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;0;404;0;1;0000-00-00;0;new;1;0;both;0;0;0;0;"2024-04-24 08:27:42";"2024-04-24 08:27:42";0;3;1;
1045441;0;19232;283;1;53;0;0;8413173461103;;;;0.000000;0;1;;0;1.009300;0.000000;;0.000000;0.000000;045441;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;0;404;0;1;0000-00-00;0;new;1;0;both;0;0;0;0;"2024-04-25 08:26:02";"2024-04-25 08:26:02";0;3;1;
1048937;0;18491;569;1;53;0;0;0026102703615;;;;0.000000;0;0;;0;4.829100;0.000000;;0.000000;0.000000;;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;1;404;0;1;0000-00-00;0;new;1;1;both;0;0;0;16365;"2024-04-17 10:01:07";"2024-04-17 10:05:40";0;3;1;combinations
1050099;0;13451;771;1;53;0;1;8427514019564;;;;0.000000;0;1;;0;4.007100;0.000000;;0.000000;0.000000;050099;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;0;404;0;1;0000-00-00;0;new;1;0;both;0;0;0;0;"2024-04-24 08:27:46";"2024-04-25 08:26:05";0;3;1;
1050100;0;13451;771;1;53;0;1;8427514019571;;;;0.000000;0;1;;0;4.007100;0.000000;;0.000000;0.000000;050100;;;0.000000;205.000000;0.000000;0.000000;2;1;0;0;0;0;0;404;0;1;0000-00-00;0;new;1;0;both;0;0;0;0;"2024-04-24 08:27:46";"2024-04-25 08:26:05";0;3;1;
